date,sku_id,warehouse_id,supplier_id,region,units_sold,inventory_level,supplier_lead_time_days,reorder_point,order_quantity,unit_cost,unit_price,promotion_flag,stockout_flag,demand_forecast,revenue,cost,gross_profit,forecast_error,absolute_forecast_error,gross_margin_pct,forecast_accuracy_pct,inventory_gap,replenishment_risk,inventory_coverage_days,year,month,month_name,day_of_week,day_of_week_num
2024-01-01,SKU_1,WH_1,SUP_8,West,10,592,14,379,0,13.95,20.48,0,0,8.52,204.8,139.5,65.30000000000001,1.4800000000000004,1.4800000000000004,31.884765625000007,82.62910798122066,213,0,59.2,2024,1,January,Monday,0
2024-01-02,SKU_1,WH_1,SUP_8,West,17,575,14,379,0,13.95,20.48,0,0,18.63,348.16,237.14999999999998,111.01000000000005,-1.629999999999999,1.629999999999999,31.88476562500001,91.2506709608159,196,0,33.8235294117647,2024,1,January,Tuesday,1
2024-01-03,SKU_1,WH_1,SUP_8,North,35,540,14,379,0,13.95,20.48,1,0,39.62,716.8000000000001,488.25,228.55000000000007,-4.619999999999997,4.619999999999997,31.884765625000007,88.33922261484099,161,0,15.428571428571429,2024,1,January,Wednesday,2
2024-01-04,SKU_1,WH_1,SUP_8,South,24,516,14,379,0,13.95,20.48,0,0,19.43,491.52,334.79999999999995,156.72000000000003,4.57,4.57,31.884765625000007,76.47967061245497,137,0,21.5,2024,1,January,Thursday,3
2024-01-05,SKU_1,WH_1,SUP_8,West,21,495,14,379,0,13.95,20.48,0,0,18.7,430.08,292.95,137.13,2.3000000000000007,2.3000000000000007,31.884765625,87.70053475935828,116,0,23.571428571428573,2024,1,January,Friday,4
2024-01-06,SKU_1,WH_1,SUP_8,East,18,477,14,379,0,13.95,20.48,0,0,18.33,368.64,251.1,117.53999999999999,-0.3299999999999983,0.3299999999999983,31.884765625,98.19967266775778,98,0,26.5,2024,1,January,Saturday,5
2024-01-07,SKU_1,WH_1,SUP_8,North,19,458,14,379,0,13.95,20.48,0,0,18.91,389.12,265.05,124.07,0.08999999999999986,0.08999999999999986,31.884765625,99.52406134320465,79,0,24.105263157894736,2024,1,January,Sunday,6
2024-01-08,SKU_1,WH_1,SUP_8,North,23,435,14,379,0,13.95,20.48,1,0,25.84,471.04,320.84999999999997,150.19000000000005,-2.84,2.84,31.88476562500001,89.0092879256966,56,0,18.91304347826087,2024,1,January,Monday,0
2024-01-09,SKU_1,WH_1,SUP_8,West,25,410,14,379,0,13.95,20.48,0,0,21.7,512.0,348.75,163.25,3.3000000000000007,3.3000000000000007,31.884765625,84.7926267281106,31,0,16.4,2024,1,January,Tuesday,1
2024-01-10,SKU_1,WH_1,SUP_8,South,25,385,14,379,0,13.95,20.48,0,0,21.34,512.0,348.75,163.25,3.66,3.66,31.884765625,82.84910965323337,6,0,15.4,2024,1,January,Wednesday,2
2024-01-11,SKU_1,WH_1,SUP_8,North,23,362,14,379,0,13.95,20.48,0,0,18.82,471.04,320.84999999999997,150.19000000000005,4.18,4.18,31.88476562500001,77.78958554729012,-17,1,15.73913043478261,2024,1,January,Thursday,3
2024-01-12,SKU_1,WH_1,SUP_8,West,29,803,14,379,470,13.95,20.48,1,0,31.65,593.92,404.54999999999995,189.37,-2.6499999999999986,2.6499999999999986,31.884765625000007,91.62717219589258,424,0,27.689655172413794,2024,1,January,Friday,4
2024-01-13,SKU_1,WH_1,SUP_8,North,25,778,14,379,0,13.95,20.48,0,0,25.08,512.0,348.75,163.25,-0.0799999999999983,0.0799999999999983,31.884765625,99.68102073365232,399,0,31.12,2024,1,January,Saturday,5
2024-01-14,SKU_1,WH_1,SUP_8,South,26,752,14,379,0,13.95,20.48,0,0,24.39,532.48,362.7,169.78000000000003,1.6099999999999994,1.6099999999999994,31.884765625000007,93.3989339893399,373,0,28.923076923076923,2024,1,January,Sunday,6
2024-01-15,SKU_1,WH_1,SUP_8,North,19,733,14,379,0,13.95,20.48,1,0,21.16,389.12,265.05,124.07,-2.16,2.16,31.884765625,89.79206049149339,354,0,38.578947368421055,2024,1,January,Monday,0
2024-01-16,SKU_1,WH_1,SUP_8,West,19,714,14,379,0,13.95,20.48,0,0,20.84,389.12,265.05,124.07,-1.8399999999999999,1.8399999999999999,31.884765625,91.17082533589252,335,0,37.578947368421055,2024,1,January,Tuesday,1
2024-01-17,SKU_1,WH_1,SUP_8,East,26,688,14,379,0,13.95,20.48,0,0,23.28,532.48,362.7,169.78000000000003,2.719999999999999,2.719999999999999,31.884765625000007,88.31615120274915,309,0,26.46153846153846,2024,1,January,Wednesday,2
2024-01-18,SKU_1,WH_1,SUP_8,North,22,666,14,379,0,13.95,20.48,0,0,20.13,450.56,306.9,143.66000000000003,1.870000000000001,1.870000000000001,31.884765625000007,90.71038251366119,287,0,30.272727272727273,2024,1,January,Thursday,3
2024-01-19,SKU_1,WH_1,SUP_8,North,28,638,14,379,0,13.95,20.48,1,0,31.49,573.44,390.59999999999997,182.8400000000001,-3.4899999999999984,3.4899999999999984,31.88476562500001,88.9171165449349,259,0,22.785714285714285,2024,1,January,Friday,4
2024-01-20,SKU_1,WH_1,SUP_8,East,17,621,14,379,0,13.95,20.48,0,0,13.41,348.16,237.14999999999998,111.01000000000005,3.59,3.59,31.88476562500001,73.2289336316182,242,0,36.529411764705884,2024,1,January,Saturday,5
2024-01-21,SKU_1,WH_1,SUP_8,East,25,596,14,379,0,13.95,20.48,0,0,19.95,512.0,348.75,163.25,5.050000000000001,5.050000000000001,31.884765625,74.68671679197995,217,0,23.84,2024,1,January,Sunday,6
2024-01-22,SKU_1,WH_1,SUP_8,South,28,568,14,379,0,13.95,20.48,0,0,30.39,573.44,390.59999999999997,182.8400000000001,-2.3900000000000006,2.3900000000000006,31.88476562500001,92.13557091148404,189,0,20.285714285714285,2024,1,January,Monday,0
2024-01-23,SKU_1,WH_1,SUP_8,West,20,548,14,379,0,13.95,20.48,0,0,21.0,409.6,279.0,130.60000000000002,-1.0,1.0,31.884765625000007,95.23809523809523,169,0,27.4,2024,1,January,Tuesday,1
2024-01-24,SKU_1,WH_1,SUP_8,West,24,524,14,379,0,13.95,20.48,0,0,23.1,491.52,334.79999999999995,156.72000000000003,0.8999999999999986,0.8999999999999986,31.884765625000007,96.10389610389612,145,0,21.833333333333332,2024,1,January,Wednesday,2
2024-01-25,SKU_1,WH_1,SUP_8,East,20,504,14,379,0,13.95,20.48,0,0,21.27,409.6,279.0,130.60000000000002,-1.2699999999999996,1.2699999999999996,31.884765625000007,94.02914903620122,125,0,25.2,2024,1,January,Thursday,3
2024-01-26,SKU_1,WH_1,SUP_8,West,20,484,14,379,0,13.95,20.48,0,0,22.23,409.6,279.0,130.60000000000002,-2.2300000000000004,2.2300000000000004,31.884765625000007,89.96851102114259,105,0,24.2,2024,1,January,Friday,4
2024-01-27,SKU_1,WH_1,SUP_8,South,28,456,14,379,0,13.95,20.48,0,0,29.08,573.44,390.59999999999997,182.8400000000001,-1.0799999999999983,1.0799999999999983,31.88476562500001,96.28610729023384,77,0,16.285714285714285,2024,1,January,Saturday,5
2024-01-28,SKU_1,WH_1,SUP_8,West,29,427,14,379,0,13.95,20.48,0,0,29.99,593.92,404.54999999999995,189.37,-0.9899999999999984,0.9899999999999984,31.884765625000007,96.69889963321108,48,0,14.724137931034482,2024,1,January,Sunday,6
2024-01-29,SKU_1,WH_1,SUP_8,West,29,398,14,379,0,13.95,20.48,0,0,28.37,593.92,404.54999999999995,189.37,0.629999999999999,0.629999999999999,31.884765625000007,97.77934437786394,19,0,13.724137931034482,2024,1,January,Monday,0
2024-01-30,SKU_1,WH_1,SUP_8,North,23,375,14,379,0,13.95,20.48,0,0,25.02,471.04,320.84999999999997,150.19000000000005,-2.0199999999999996,2.0199999999999996,31.88476562500001,91.92645883293366,-4,1,16.304347826086957,2024,1,January,Tuesday,1
2024-01-31,SKU_1,WH_1,SUP_8,West,18,754,14,379,397,13.95,20.48,0,0,14.94,368.64,251.1,117.53999999999999,3.0600000000000005,3.0600000000000005,31.884765625,79.51807228915662,375,0,41.888888888888886,2024,1,January,Wednesday,2
2024-02-01,SKU_1,WH_1,SUP_8,South,34,720,14,379,0,13.95,20.48,0,0,33.54,696.32,474.29999999999995,222.0200000000001,0.46000000000000085,0.46000000000000085,31.88476562500001,98.62850327966606,341,0,21.176470588235293,2024,2,February,Thursday,3
2024-02-02,SKU_1,WH_1,SUP_8,West,24,696,14,379,0,13.95,20.48,0,0,25.21,491.52,334.79999999999995,156.72000000000003,-1.2100000000000009,1.2100000000000009,31.884765625000007,95.20031733439112,317,0,29.0,2024,2,February,Friday,4
2024-02-03,SKU_1,WH_1,SUP_8,South,22,674,14,379,0,13.95,20.48,0,0,21.56,450.56,306.9,143.66000000000003,0.4400000000000013,0.4400000000000013,31.884765625000007,97.95918367346938,295,0,30.636363636363637,2024,2,February,Saturday,5
2024-02-04,SKU_1,WH_1,SUP_8,North,32,642,14,379,0,13.95,20.48,1,0,26.98,655.36,446.4,208.96000000000004,5.02,5.02,31.884765625000007,81.39362490733876,263,0,20.0625,2024,2,February,Sunday,6
2024-02-05,SKU_1,WH_1,SUP_8,East,25,617,14,379,0,13.95,20.48,0,0,26.03,512.0,348.75,163.25,-1.0300000000000011,1.0300000000000011,31.884765625,96.04302727621973,238,0,24.68,2024,2,February,Monday,0
2024-02-06,SKU_1,WH_1,SUP_8,South,24,593,14,379,0,13.95,20.48,0,0,24.9,491.52,334.79999999999995,156.72000000000003,-0.8999999999999986,0.8999999999999986,31.884765625000007,96.3855421686747,214,0,24.708333333333332,2024,2,February,Tuesday,1
2024-02-07,SKU_1,WH_1,SUP_8,East,35,558,14,379,0,13.95,20.48,0,0,29.18,716.8000000000001,488.25,228.55000000000007,5.82,5.82,31.884765625000007,80.05483207676491,179,0,15.942857142857143,2024,2,February,Wednesday,2
2024-02-08,SKU_1,WH_1,SUP_8,East,22,536,14,379,0,13.95,20.48,0,0,24.32,450.56,306.9,143.66000000000003,-2.3200000000000003,2.3200000000000003,31.884765625000007,90.46052631578947,157,0,24.363636363636363,2024,2,February,Thursday,3
2024-02-09,SKU_1,WH_1,SUP_8,South,28,508,14,379,0,13.95,20.48,0,0,27.93,573.44,390.59999999999997,182.8400000000001,0.07000000000000028,0.07000000000000028,31.88476562500001,99.74937343358395,129,0,18.142857142857142,2024,2,February,Friday,4
2024-02-10,SKU_1,WH_1,SUP_8,North,21,487,14,379,0,13.95,20.48,0,0,19.3,430.08,292.95,137.13,1.6999999999999993,1.6999999999999993,31.884765625,91.19170984455958,108,0,23.19047619047619,2024,2,February,Saturday,5
2024-02-11,SKU_1,WH_1,SUP_8,South,21,466,14,379,0,13.95,20.48,0,0,18.95,430.08,292.95,137.13,2.0500000000000007,2.0500000000000007,31.884765625,89.1820580474934,87,0,22.19047619047619,2024,2,February,Sunday,6
2024-02-12,SKU_1,WH_1,SUP_8,West,29,437,14,379,0,13.95,20.48,0,0,25.33,593.92,404.54999999999995,189.37,3.6700000000000017,3.6700000000000017,31.884765625000007,85.51125148045796,58,0,15.068965517241379,2024,2,February,Monday,0
2024-02-13,SKU_1,WH_1,SUP_8,West,37,400,14,379,0,13.95,20.48,1,0,29.59,757.76,516.15,241.61,7.41,7.41,31.884765625,74.9577559986482,21,0,10.81081081081081,2024,2,February,Tuesday,1
2024-02-14,SKU_1,WH_1,SUP_8,East,23,377,14,379,0,13.95,20.48,0,0,22.03,471.04,320.84999999999997,150.19000000000005,0.9699999999999989,0.9699999999999989,31.88476562500001,95.5969133000454,-2,1,16.391304347826086,2024,2,February,Wednesday,2
2024-02-15,SKU_1,WH_1,SUP_8,South,21,699,14,379,343,13.95,20.48,0,0,23.22,430.08,292.95,137.13,-2.219999999999999,2.219999999999999,31.884765625,90.43927648578813,320,0,33.285714285714285,2024,2,February,Thursday,3
2024-02-16,SKU_1,WH_1,SUP_8,North,23,676,14,379,0,13.95,20.48,1,0,23.36,471.04,320.84999999999997,150.19000000000005,-0.35999999999999943,0.35999999999999943,31.88476562500001,98.45890410958904,297,0,29.391304347826086,2024,2,February,Friday,4
2024-02-17,SKU_1,WH_1,SUP_8,East,20,656,14,379,0,13.95,20.48,0,0,23.57,409.6,279.0,130.60000000000002,-3.5700000000000003,3.5700000000000003,31.884765625000007,84.8536274925753,277,0,32.8,2024,2,February,Saturday,5
2024-02-18,SKU_1,WH_1,SUP_8,South,28,628,14,379,0,13.95,20.48,0,0,28.32,573.44,390.59999999999997,182.8400000000001,-0.3200000000000003,0.3200000000000003,31.88476562500001,98.87005649717514,249,0,22.428571428571427,2024,2,February,Sunday,6
2024-02-19,SKU_1,WH_1,SUP_8,West,24,604,14,379,0,13.95,20.48,0,0,24.7,491.52,334.79999999999995,156.72000000000003,-0.6999999999999993,0.6999999999999993,31.884765625000007,97.16599190283401,225,0,25.166666666666668,2024,2,February,Monday,0
2024-02-20,SKU_1,WH_1,SUP_8,West,31,573,14,379,0,13.95,20.48,0,0,36.37,634.88,432.45,202.43,-5.369999999999997,5.369999999999997,31.884765625,85.23508386032445,194,0,18.483870967741936,2024,2,February,Tuesday,1
2024-02-21,SKU_1,WH_1,SUP_8,South,28,545,14,379,0,13.95,20.48,0,0,24.35,573.44,390.59999999999997,182.8400000000001,3.6499999999999986,3.6499999999999986,31.88476562500001,85.01026694045176,166,0,19.464285714285715,2024,2,February,Wednesday,2
2024-02-22,SKU_1,WH_1,SUP_8,West,27,518,14,379,0,13.95,20.48,0,0,25.85,552.96,376.65,176.31000000000006,1.1499999999999986,1.1499999999999986,31.88476562500001,95.55125725338492,139,0,19.185185185185187,2024,2,February,Thursday,3
2024-02-23,SKU_1,WH_1,SUP_8,North,32,486,14,379,0,13.95,20.48,0,0,33.24,655.36,446.4,208.96000000000004,-1.240000000000002,1.240000000000002,31.884765625000007,96.26955475330927,107,0,15.1875,2024,2,February,Friday,4
2024-02-24,SKU_1,WH_1,SUP_8,South,31,455,14,379,0,13.95,20.48,0,0,40.18,634.88,432.45,202.43,-9.18,9.18,31.884765625,77.15281234444997,76,0,14.67741935483871,2024,2,February,Saturday,5
2024-02-25,SKU_1,WH_1,SUP_8,East,32,423,14,379,0,13.95,20.48,0,0,31.28,655.36,446.4,208.96000000000004,0.7199999999999989,0.7199999999999989,31.884765625000007,97.69820971867009,44,0,13.21875,2024,2,February,Sunday,6
2024-02-26,SKU_1,WH_1,SUP_8,East,34,389,14,379,0,13.95,20.48,0,0,29.97,696.32,474.29999999999995,222.0200000000001,4.030000000000001,4.030000000000001,31.88476562500001,86.55321988655321,10,0,11.441176470588236,2024,2,February,Monday,0
2024-02-27,SKU_1,WH_1,SUP_8,East,31,358,14,379,0,13.95,20.48,0,0,28.43,634.88,432.45,202.43,2.5700000000000003,2.5700000000000003,31.884765625,90.96025325360534,-21,1,11.548387096774194,2024,2,February,Tuesday,1
2024-02-28,SKU_1,WH_1,SUP_8,North,28,575,14,379,245,13.95,20.48,0,0,28.57,573.44,390.59999999999997,182.8400000000001,-0.5700000000000003,0.5700000000000003,31.88476562500001,98.00490024501225,196,0,20.535714285714285,2024,2,February,Wednesday,2
2024-02-29,SKU_1,WH_1,SUP_8,East,31,544,14,379,0,13.95,20.48,0,0,25.17,634.88,432.45,202.43,5.829999999999998,5.829999999999998,31.884765625,76.83750496622966,165,0,17.548387096774192,2024,2,February,Thursday,3
2024-03-01,SKU_1,WH_1,SUP_8,North,33,511,14,379,0,13.95,20.48,1,0,35.33,675.84,460.34999999999997,215.49000000000007,-2.3299999999999983,2.3299999999999983,31.884765625000007,93.405038211152,132,0,15.484848484848484,2024,3,March,Friday,4
2024-03-02,SKU_1,WH_1,SUP_8,South,28,483,14,379,0,13.95,20.48,0,0,22.75,573.44,390.59999999999997,182.8400000000001,5.25,5.25,31.88476562500001,76.92307692307692,104,0,17.25,2024,3,March,Saturday,5
2024-03-03,SKU_1,WH_1,SUP_8,West,29,454,14,379,0,13.95,20.48,0,0,30.16,593.92,404.54999999999995,189.37,-1.1600000000000001,1.1600000000000001,31.884765625000007,96.15384615384616,75,0,15.655172413793103,2024,3,March,Sunday,6
2024-03-04,SKU_1,WH_1,SUP_8,East,32,422,14,379,0,13.95,20.48,0,0,28.76,655.36,446.4,208.96000000000004,3.2399999999999984,3.2399999999999984,31.884765625000007,88.73435326842838,43,0,13.1875,2024,3,March,Monday,0
2024-03-05,SKU_1,WH_1,SUP_8,North,34,388,14,379,0,13.95,20.48,0,0,34.15,696.32,474.29999999999995,222.0200000000001,-0.14999999999999858,0.14999999999999858,31.88476562500001,99.56076134699853,9,0,11.411764705882353,2024,3,March,Tuesday,1
2024-03-06,SKU_1,WH_1,SUP_8,East,31,357,14,379,0,13.95,20.48,0,0,28.82,634.88,432.45,202.43,2.1799999999999997,2.1799999999999997,31.884765625,92.43580846634282,-22,1,11.516129032258064,2024,3,March,Wednesday,2
2024-03-07,SKU_1,WH_1,SUP_8,West,31,538,14,379,212,13.95,20.48,0,0,32.54,634.88,432.45,202.43,-1.5399999999999991,1.5399999999999991,31.884765625,95.26736324523664,159,0,17.35483870967742,2024,3,March,Thursday,3
2024-03-08,SKU_1,WH_1,SUP_8,North,36,502,14,379,0,13.95,20.48,0,0,36.02,737.28,502.2,235.07999999999998,-0.020000000000003126,0.020000000000003126,31.884765625,99.9444752915047,123,0,13.944444444444445,2024,3,March,Friday,4
2024-03-09,SKU_1,WH_1,SUP_8,East,26,476,14,379,0,13.95,20.48,0,0,25.62,532.48,362.7,169.78000000000003,0.379999999999999,0.379999999999999,31.884765625000007,98.5167837626854,97,0,18.307692307692307,2024,3,March,Saturday,5
2024-03-10,SKU_1,WH_1,SUP_8,East,25,451,14,379,0,13.95,20.48,0,0,24.29,512.0,348.75,163.25,0.7100000000000009,0.7100000000000009,31.884765625,97.0769864141622,72,0,18.04,2024,3,March,Sunday,6
2024-03-11,SKU_1,WH_1,SUP_8,South,24,427,14,379,0,13.95,20.48,0,0,22.63,491.52,334.79999999999995,156.72000000000003,1.370000000000001,1.370000000000001,31.884765625000007,93.94608926204154,48,0,17.791666666666668,2024,3,March,Monday,0
